sensor,pid,tsa,plotid,yr,day,b1,b2,b3,b4,b5,b7,b6,fmask
LT5,12345678,14034,31,1991,316,876,992,976,2551,1289,773,2760,0
LT5,12345678,14034,31,1991,332,2501,2641,2742,3504,3346,3297,2702,4
LT5,12345678,14034,31,1991,364,8215,8196,8000,7995,5484,3651,2685,4
LT5,12345678,14034,31,1992,15,452,598,525,2225,1030,532,2718,0
LT5,12345678,14034,31,1992,31,6245,6220,6295,6617,3233,2802,2479,4
LT5,12345678,14034,31,1992,47,697,784,681,2136,988,374,2845,0
LT5,12345678,14034,31,1992,63,20000,6872,6984,7328,6243,5351,2750,4
LT5,12345678,14034,31,1992,95,511,680,666,2276,1260,687,2816,0
LT5,12345678,14034,31,1992,127,1060,1291,1155,2964,1507,913,2745,4
LT5,12345678,14034,31,1992,143,452,663,601,2751,1367,747,2937,0
LT5,12345678,14034,31,1992,159,1694,1749,1571,4023,1948,1264,2729,4
LT5,12345678,14034,31,1992,175,414,549,448,2786,1135,512,2915,0
LT5,12345678,14034,31,1992,191,20000,5405,5348,6447,2718,2184,2294,4
LT5,12345678,14034,31,1992,223,495,669,451,3133,992,364,2942,0
LT5,12345678,14034,31,1992,239,2736,2553,2339,4008,1773,1190,2668,4
LT5,12345678,14034,31,1992,255,20000,6631,6712,7297,5104,3635,2572,4
LT5,12345678,14034,31,1992,287,282,489,327,2284,826,318,2873,0
LT5,12345678,14034,31,1992,303,20000,6038,5993,6332,4563,3557,2597,4
LT5,12345678,14034,31,1992,319,436,550,496,2188,1093,477,2781,0
LT5,12345678,14034,31,1992,335,411,587,530,2194,966,383,2766,0
LT5,12345678,14034,31,1992,351,452,551,490,2768,1173,546,2781,0
LT5,12345678,14034,31,1993,1,3119,3138,3160,4226,2852,2515,2520,4
LT5,12345678,14034,31,1993,33,420,545,545,2111,879,412,2674,0
LT5,12345678,14034,31,1993,49,1735,1627,1588,2328,1215,818,2639,4
LT5,12345678,14034,31,1993,65,3553,3718,3756,4473,4601,4035,2674,4
LT5,12345678,14034,31,1993,81,689,865,792,2373,1240,683,2816,0
LT5,12345678,14034,31,1993,97,3986,4247,4223,5139,3860,2778,2696,4
LT5,12345678,14034,31,1993,113,582,753,729,2464,1388,747,2855,2
LT5,12345678,14034,31,1993,129,590,779,625,3027,1324,641,2933,0
LT5,12345678,14034,31,1993,145,660,907,762,3278,1612,862,2850,0
LT5,12345678,14034,31,1993,161,256,374,364,2624,1187,527,2959,0
LT5,12345678,14034,31,1993,177,3283,3526,3656,5664,4707,3760,2901,4
LT5,12345678,14034,31,1993,193,20000,5970,5864,7240,5919,4742,2657,4
LT5,12345678,14034,31,1993,209,262,436,325,2762,991,476,2964,0
LT5,12345678,14034,31,1993,225,1999,1895,1542,3899,1277,544,2937,0
LT5,12345678,14034,31,1993,241,488,551,389,3070,972,433,2959,0
LT5,12345678,14034,31,1993,273,1803,1961,1900,3853,2750,2155,2750,4
LT5,12345678,14034,31,1993,289,1832,1917,1871,2952,1587,1116,2627,4
LT5,12345678,14034,31,1993,305,20000,8288,8621,8977,6571,4969,2615,4
LT5,12345678,14034,31,1993,337,349,531,427,2275,1001,398,2821,0
LT5,12345678,14034,31,1993,353,303,394,371,2158,906,494,2791,0
LT5,12345678,14034,31,1994,52,4883,4998,5021,5610,5008,4853,2546,4
LT5,12345678,14034,31,1994,100,20000,5746,5716,6360,4712,3939,2520,4
LT5,12345678,14034,31,1994,116,417,579,466,2651,1324,588,2968,0
LT5,12345678,14034,31,1994,148,308,461,409,2650,1202,571,2915,0
LT5,12345678,14034,31,1994,164,1159,1222,1109,3418,1735,1162,2919,4
LT5,12345678,14034,31,1994,196,558,689,531,3546,1377,606,2933,0
LT5,12345678,14034,31,1994,228,3351,3380,3140,5410,2963,2189,2645,4
LT5,12345678,14034,31,1994,244,2342,2371,2316,4312,2952,2576,2791,4
LT5,12345678,14034,31,1994,260,2428,2403,2248,3638,1742,1119,2645,4
LT5,12345678,14034,31,1994,276,4111,4183,4127,5040,2418,1936,2493,4
LT5,12345678,14034,31,1994,292,4026,4056,4098,5156,4350,3594,2500,4
LT5,12345678,14034,31,1994,308,347,483,450,2427,1070,434,2901,0
LT5,12345678,14034,31,1994,356,697,949,931,1694,971,452,2685,4
LT5,12345678,14034,31,1995,23,406,510,337,2308,971,477,2734,0
LT5,12345678,14034,31,1995,39,638,632,612,1830,802,476,2668,2
LT5,12345678,14034,31,1995,55,425,625,556,2323,1288,599,2791,0
LT5,12345678,14034,31,1995,71,332,488,416,2100,1093,506,2835,0
LT5,12345678,14034,31,1995,87,20000,8291,8272,8863,7257,6443,2609,4
LT5,12345678,14034,31,1995,103,337,484,455,2294,1110,547,2897,0
LT5,12345678,14034,31,1995,119,324,517,484,2580,1279,694,2915,0
LT5,12345678,14034,31,1995,135,342,524,458,2725,1195,577,2906,0
LT5,12345678,14034,31,1995,151,256,438,362,2625,1302,667,2950,0
LT5,12345678,14034,31,1995,167,377,494,407,2687,1129,495,2950,0
LT5,12345678,14034,31,1995,199,1592,1507,1242,3663,1360,630,2919,0
LT5,12345678,14034,31,1995,231,2889,2951,2770,4488,2170,1587,2493,4
LT5,12345678,14034,31,1995,247,260,385,269,2576,859,320,2937,0
LT5,12345678,14034,31,1995,263,268,467,361,2610,934,349,2911,0
LT5,12345678,14034,31,1995,279,713,854,784,2176,1508,1162,2776,4
LT5,12345678,14034,31,1995,295,266,395,287,2472,1018,358,2859,0
LT5,12345678,14034,31,1995,327,7608,7775,7831,8696,6985,5607,2609,4
LT5,12345678,14034,31,1995,359,1758,1754,1706,3327,2286,1737,2633,4
LT5,12345678,14034,31,1996,10,4454,4479,4544,5252,3160,3007,2585,4
LT5,12345678,14034,31,1996,26,1280,1446,1380,2953,1563,1028,2645,4
LT5,12345678,14034,31,1996,42,3651,3557,3523,4139,3503,3057,2520,4
LT5,12345678,14034,31,1996,58,4351,4564,4568,5659,5645,5267,2609,4
LT5,12345678,14034,31,1996,74,20000,7131,7169,7427,5397,4093,2597,4
LT5,12345678,14034,31,1996,90,364,427,408,2082,1000,491,2807,0
LT5,12345678,14034,31,1996,106,20000,5224,5219,5898,4711,3343,2801,0
LT5,12345678,14034,31,1996,122,287,478,358,2332,1175,569,2887,0
LT5,12345678,14034,31,1996,154,309,459,379,2673,1227,582,2942,0
LT5,12345678,14034,31,1996,170,20000,6650,6738,7539,5256,4075,2615,4
LT5,12345678,14034,31,1996,186,300,469,353,2879,1180,534,2924,0
LT5,12345678,14034,31,1996,202,228,400,268,2843,1091,426,2942,0
LT5,12345678,14034,31,1996,218,345,436,316,2910,1017,407,2942,0
LT5,12345678,14034,31,1996,234,20000,7529,7489,8653,6752,5768,2831,4
LT5,12345678,14034,31,1996,266,1847,1910,1699,3514,2320,1927,2869,4
LT5,12345678,14034,31,1996,298,490,574,508,2552,1182,514,2864,0
LT5,12345678,14034,31,1996,314,4134,4392,4419,5191,4509,3527,2734,4
LT5,12345678,14034,31,1996,330,3650,3696,3634,4815,2797,1992,2527,4
LT5,12345678,14034,31,1996,346,257,396,352,2036,703,279,2796,0
LT5,12345678,14034,31,1996,362,-137,-55,14,2450,745,269,2776,0
LT5,12345678,14034,31,1997,12,236,398,374,2288,865,400,2696,0
LT5,12345678,14034,31,1997,44,837,997,897,2329,1311,845,2645,4
LT5,12345678,14034,31,1997,124,266,502,379,2468,1164,514,2878,0
LT5,12345678,14034,31,1997,140,20000,5626,5408,6316,2876,2280,2442,4
LT5,12345678,14034,31,1997,172,433,573,432,2841,1132,524,2968,0
LT5,12345678,14034,31,1997,188,603,562,360,1552,338,115,2928,2
LT5,12345678,14034,31,1997,236,261,400,261,2858,928,365,2937,0
LT5,12345678,14034,31,1997,284,260,338,273,2356,858,405,2910,0
LT5,12345678,14034,31,1997,332,4604,4255,4388,5498,3472,2900,2435,4
LT5,12345678,14034,31,1997,348,619,721,742,1794,928,525,2685,2
LT5,12345678,14034,31,1997,364,2169,2228,2217,3502,2686,2071,2702,4
LT5,12345678,14034,31,1998,31,5916,5923,5770,5971,5220,4549,2627,4
LT5,12345678,14034,31,1998,47,4059,3993,3966,4694,2897,2427,2471,4
LT5,12345678,14034,31,1998,63,1177,1235,1153,2848,1450,874,2723,4
LT5,12345678,14034,31,1998,95,20000,6266,6227,6734,6121,5383,2627,4
LT5,12345678,14034,31,1998,111,268,498,372,2465,1175,520,2897,0
LT5,12345678,14034,31,1998,127,935,1079,952,3220,1421,745,2835,4
LT5,12345678,14034,31,1998,143,20000,7093,20000,7500,2329,1856,2464,4
LT5,12345678,14034,31,1998,159,163,280,235,1262,405,185,2892,2
LT5,12345678,14034,31,1998,191,396,572,421,3193,1140,489,2946,0
LT5,12345678,14034,31,1998,207,1286,1502,1261,3726,1448,833,2750,4
LT5,12345678,14034,31,1998,223,20000,7365,7451,8161,20000,5366,2873,4
LT5,12345678,14034,31,1998,239,20000,20000,20000,10044,4678,2784,2615,4
LT5,12345678,14034,31,1998,255,497,613,444,3277,1263,563,2924,2
LT5,12345678,14034,31,1998,287,369,440,373,2455,978,447,2897,0
LT5,12345678,14034,31,1998,303,301,423,400,2351,1038,495,2869,0
LT5,12345678,14034,31,1998,319,411,556,455,2359,916,391,2859,0
LT5,12345678,14034,31,1998,335,333,435,357,2437,1020,503,2897,0
LT5,12345678,14034,31,1998,351,6731,6577,6521,7020,4035,3348,2464,4
LT5,12345678,14034,31,1999,2,2652,2474,2712,4145,3421,2778,2651,4
LT5,12345678,14034,31,1999,34,418,461,427,1798,805,332,2811,0
LT5,12345678,14034,31,1999,50,388,522,478,2261,914,393,2776,0
LT5,12345678,14034,31,1999,66,348,465,434,2323,1132,621,2718,2
LT5,12345678,14034,31,1999,82,4038,4062,3974,4521,2093,1738,2559,4
LT5,12345678,14034,31,1999,98,364,526,422,2280,1228,592,2942,0
LT5,12345678,14034,31,1999,114,268,479,419,2317,1237,578,2859,0
LT5,12345678,14034,31,1999,130,261,498,412,2613,1365,640,2955,0
LT5,12345678,14034,31,1999,146,2556,2567,2440,3736,2087,1444,2615,4
LT5,12345678,14034,31,1999,162,20000,7606,20000,8053,4963,3502,2826,4
LT5,12345678,14034,31,1999,178,20000,5021,5005,5774,4596,3772,2750,4
LE7,12345678,14034,31,1999,186,269,453,300,2939,1149,437,3024,0
LT5,12345678,14034,31,1999,194,20000,6739,6687,7130,5630,4322,2835,4
LE7,12345678,14034,31,1999,202,20000,20000,20000,20000,20000,4761,2727,4
LT5,12345678,14034,31,1999,210,303,460,339,3357,1163,500,2942,0
LE7,12345678,14034,31,1999,218,335,464,279,3097,955,348,2970,0
LT5,12345678,14034,31,1999,226,2793,2902,2748,4926,3349,2411,2755,4
LE7,12345678,14034,31,1999,234,20000,20000,20000,6539,5228,4138,2846,4
LT5,12345678,14034,31,1999,242,20000,7174,7165,7749,2327,2009,2321,4
LE7,12345678,14034,31,1999,250,1310,1172,944,2752,985,473,2902,4
LE7,12345678,14034,31,1999,266,174,280,149,2544,854,363,2902,0
LT5,12345678,14034,31,1999,274,162,355,277,2524,832,333,2901,0
LE7,12345678,14034,31,1999,282,2392,2328,2204,3811,1374,980,2668,4
LE7,12345678,14034,31,1999,298,191,342,254,2397,844,314,2847,0
LT5,12345678,14034,31,1999,322,278,311,341,2400,954,469,2816,0
LE7,12345678,14034,31,1999,330,5057,4948,4886,5288,2775,1624,2764,4
LT5,12345678,14034,31,1999,338,306,326,323,2291,1017,315,2850,0
LE7,12345678,14034,31,1999,346,318,305,198,2452,978,447,2794,0
LE7,12345678,14034,31,1999,362,5305,5196,5089,5684,4171,3277,2584,4
LT5,12345678,14034,31,2000,5,275,375,296,2233,901,396,2776,0
LE7,12345678,14034,31,2000,13,4850,4699,4680,5007,2560,2514,2412,4
LT5,12345678,14034,31,2000,21,1025,897,809,2641,571,492,2662,3
LE7,12345678,14034,31,2000,29,1214,1122,896,3067,683,377,2696,3
LT5,12345678,14034,31,2000,37,661,694,540,2717,805,272,2734,0
LE7,12345678,14034,31,2000,45,20000,6270,20000,7068,3344,3333,2209,4
LT5,12345678,14034,31,2000,53,299,458,335,2159,992,505,2786,0
LE7,12345678,14034,31,2000,61,934,1033,908,2873,1536,958,2733,4
LT5,12345678,14034,31,2000,69,1451,1549,1408,2756,1808,1308,2696,4
LE7,12345678,14034,31,2000,77,20000,20000,20000,20000,5857,4140,2752,4
LT5,12345678,14034,31,2000,85,1076,1128,1034,2788,1608,992,2750,4
LE7,12345678,14034,31,2000,93,20000,4218,4160,4807,2287,2053,2323,4
LT5,12345678,14034,31,2000,101,385,544,467,2367,1134,585,2859,0
LT5,12345678,14034,31,2000,117,20000,5184,5275,6411,20000,5116,2713,4
LE7,12345678,14034,31,2000,125,369,516,384,2659,1251,538,2918,0
LT5,12345678,14034,31,2000,133,515,704,567,3114,1418,628,2933,0
LE7,12345678,14034,31,2000,141,20000,20000,20000,9363,20000,5490,2599,4
LT5,12345678,14034,31,2000,149,20000,3868,3758,4955,3283,2773,2625,4
LE7,12345678,14034,31,2000,157,20000,20000,20000,6773,20000,4465,2788,4
LT5,12345678,14034,31,2000,165,20000,20000,20000,10835,20000,5389,2873,4
LE7,12345678,14034,31,2000,173,892,968,770,3399,1461,806,2885,4
LE7,12345678,14034,31,2000,189,258,433,259,2829,1048,449,2943,0
LE7,12345678,14034,31,2000,205,452,562,423,2915,1107,543,2890,0
LE7,12345678,14034,31,2000,221,406,517,339,3076,1104,464,2923,0
LT5,12345678,14034,31,2000,229,2409,2202,1739,4968,2322,1425,2919,4
LE7,12345678,14034,31,2000,237,20000,4455,4248,5663,3245,2553,2591,4
LT5,12345678,14034,31,2000,245,563,611,449,3064,1058,341,2928,0
LE7,12345678,14034,31,2000,253,2006,2094,1938,3590,2421,1967,2734,4
LT5,12345678,14034,31,2000,261,224,326,230,2406,961,341,2906,0
LT5,12345678,14034,31,2000,277,396,400,349,2457,944,431,2933,0
LT5,12345678,14034,31,2000,293,362,431,366,2432,1003,458,2887,0
LE7,12345678,14034,31,2000,301,678,807,733,2676,1274,678,2840,4
LE7,12345678,14034,31,2000,317,5549,5577,5469,5990,5003,4118,2752,4
LE7,12345678,14034,31,2000,333,356,433,358,2300,1049,406,2824,0
LT5,12345678,14034,31,2000,341,287,401,431,2340,1010,499,2718,0
LE7,12345678,14034,31,2000,349,20000,20000,20000,9955,2359,2239,2439,4
LT5,12345678,14034,31,2000,357,3099,3033,2957,3567,1821,1307,2685,4
LE7,12345678,14034,31,2000,365,866,888,611,2862,839,419,2715,3
LT5,12345678,14034,31,2001,7,1490,1601,1492,2986,1922,1311,2651,4
LE7,12345678,14034,31,2001,15,3160,3206,3247,4383,4001,3712,2747,4
LT5,12345678,14034,31,2001,23,1049,1113,1042,2520,1391,887,2645,0
LE7,12345678,14034,31,2001,31,274,478,340,2291,1053,457,2840,0
LT5,12345678,14034,31,2001,39,1636,1708,1664,3054,1821,1136,2679,4
LT5,12345678,14034,31,2001,55,3273,3341,3364,4025,2640,2613,2603,4
LE7,12345678,14034,31,2001,63,20000,20000,20000,20000,4182,3320,2662,4
LT5,12345678,14034,31,2001,71,336,461,433,2278,1118,507,2826,0
LE7,12345678,14034,31,2001,79,3568,3500,3495,4193,2109,1774,2439,4
LT5,12345678,14034,31,2001,87,307,445,421,2180,1129,532,2811,0
LE7,12345678,14034,31,2001,95,296,437,374,2317,1129,533,2880,0
LE7,12345678,14034,31,2001,111,1012,1118,1067,2456,1266,806,2758,4
LT5,12345678,14034,31,2001,119,382,549,478,2520,1263,602,2892,0
LE7,12345678,14034,31,2001,127,308,500,375,2895,1279,550,2906,0
LT5,12345678,14034,31,2001,135,421,594,514,2907,1339,696,2901,0
LE7,12345678,14034,31,2001,143,2194,2392,2350,4615,3322,2334,2902,4
LT5,12345678,14034,31,2001,151,1243,1353,1226,3203,1490,971,2729,4
LE7,12345678,14034,31,2001,159,793,886,746,2833,1268,708,2906,4
LE7,12345678,14034,31,2001,175,20000,3335,3265,4699,1500,1185,2547,4
LT5,12345678,14034,31,2001,183,361,501,386,3137,1165,540,2892,0
LE7,12345678,14034,31,2001,191,268,385,272,2857,1084,481,2985,0
LE7,12345678,14034,31,2001,207,20000,20000,20000,6133,4727,3754,2746,4
LT5,12345678,14034,31,2001,215,239,389,291,2866,993,380,2968,0
LE7,12345678,14034,31,2001,223,1019,994,708,3627,1144,448,2933,0
LT5,12345678,14034,31,2001,231,4523,4442,4230,6056,4151,3365,2731,4
LE7,12345678,14034,31,2001,239,385,475,287,2938,977,372,2944,0
LT5,12345678,14034,31,2001,247,400,491,356,2813,975,384,2924,0
LE7,12345678,14034,31,2001,255,190,306,216,2609,915,334,2944,0
LE7,12345678,14034,31,2001,271,256,372,242,2642,918,380,2875,0
LE7,12345678,14034,31,2001,287,552,690,598,2455,1121,656,2847,4
LT5,12345678,14034,31,2001,295,306,467,355,2467,940,427,2928,0
LE7,12345678,14034,31,2001,303,339,410,313,2501,1032,437,2869,0
LT5,12345678,14034,31,2001,311,306,491,409,2353,1032,417,2873,0
LE7,12345678,14034,31,2001,319,346,440,289,2495,932,373,2880,0
LT5,12345678,14034,31,2001,327,355,538,334,2365,884,413,2840,0
LE7,12345678,14034,31,2001,335,532,493,410,1635,839,449,2886,2
LT5,12345678,14034,31,2001,343,5310,5345,5299,5930,4355,3165,2585,4
LE7,12345678,14034,31,2001,351,5464,4992,4911,5176,2464,1930,2620,4
LT5,12345678,14034,31,2001,359,314,366,352,2350,848,324,2766,0
LE7,12345678,14034,31,2002,2,796,894,810,2928,1323,761,2669,0
LT5,12345678,14034,31,2002,10,6415,6341,6267,6691,3222,2998,2321,4
LE7,12345678,14034,31,2002,18,404,460,341,2138,760,293,2758,0
LT5,12345678,14034,31,2002,26,260,365,354,2181,866,406,2811,0
LE7,12345678,14034,31,2002,34,2491,2490,2447,3402,1920,1573,2531,4
LT5,12345678,14034,31,2002,42,20000,6724,6736,7000,5709,4851,2645,4
LE7,12345678,14034,31,2002,50,228,359,257,2229,932,435,2818,0
LE7,12345678,14034,31,2002,66,1772,1733,1658,2934,1594,1128,2627,4
LE7,12345678,14034,31,2002,82,290,409,333,2263,1070,484,2795,0
